Time,"output {channel=""blue_etalon"", units=""Amps""}",seconds,days,jd,amps,sams x axis,amps,fixed refderences JD offset
1.76E+12,0.309,1763260380,20408.10625,2460995.256,0.309,-4.744,0.309,2440587.15
1.76E+12,0.308,1763260410,20408.1066,2460995.256,0.308,-4.743652778,0.308,
1.76E+12,0.308,1763260440,20408.10694,2460995.257,0.308,-4.743305556,0.308,
1.76E+12,0.308,1763260470,20408.10729,2460995.257,0.308,-4.742958333,0.308,
1.76E+12,0.308,1763260500,20408.10764,2460995.257,0.308,-4.742611111,0.308,
1.76E+12,0.309,1763260530,20408.10799,2460995.258,0.309,-4.742263889,0.309,
1.76E+12,0.308,1763260560,20408.10833,2460995.258,0.308,-4.741916667,0.308,
1.76E+12,0.307,1763260590,20408.10868,2460995.258,0.307,-4.741569445,0.307,
1.76E+12,0.308,1763260620,20408.10903,2460995.259,0.308,-4.741222222,0.308,
1.76E+12,,1763260650,20408.10938,2460995.259,,-4.740875,,
1.76E+12,0.309,1763260680,20408.10972,2460995.259,0.309,-4.740527778,0.309,
1.76E+12,0.308,1763260710,20408.11007,2460995.26,0.308,-4.740180556,0.308,
1.76E+12,0.309,1763260740,20408.11042,2460995.26,0.309,-4.739833334,0.309,
1.76E+12,0.307,1763260770,20408.11076,2460995.261,0.307,-4.739486111,0.307,
1.76E+12,0.308,1763260800,20408.11111,2460995.261,0.308,-4.739138889,0.308,
1.76E+12,0.308,1763260830,20408.11146,2460995.261,0.308,-4.738791667,0.308,
1.76E+12,0.309,1763260860,20408.11181,2460995.262,0.309,-4.738444445,0.309,
1.76E+12,0.309,1763260890,20408.11215,2460995.262,0.309,-4.738097223,0.309,
1.76E+12,0.308,1763260920,20408.1125,2460995.262,0.308,-4.73775,0.308,
1.76E+12,0.309,1763260950,20408.11285,2460995.263,0.309,-4.737402778,0.309,
1.76E+12,0.308,1763260980,20408.11319,2460995.263,0.308,-4.737055556,0.308,
1.76E+12,0.308,1763261010,20408.11354,2460995.263,0.308,-4.736708333,0.308,
1.76E+12,0.308,1763261040,20408.11389,2460995.264,0.308,-4.736361111,0.308,
1.76E+12,0.308,1763261070,20408.11424,2460995.264,0.308,-4.736013889,0.308,
1.76E+12,0.308,1763261100,20408.11458,2460995.264,0.308,-4.735666667,0.308,
1.76E+12,0.309,1763261130,20408.11493,2460995.265,0.309,-4.735319444,0.309,
1.76E+12,0.309,1763261160,20408.11528,2460995.265,0.309,-4.734972222,0.309,
1.76E+12,0.307,1763261190,20408.11563,2460995.265,0.307,-4.734625,0.307,
1.76E+12,0.307,1763261220,20408.11597,2460995.266,0.307,-4.734277778,0.307,
1.76E+12,0.309,1763261250,20408.11632,2460995.266,0.309,-4.733930556,0.309,
