time,mks_temperature,ETALONHOUSING,FOLDMOUNT,PRISMMOUNT,GRATINGMOUNT,JPLFLEXSTRAP,COLDHEAD,GRATINGBASE,CUBARSTRAPEND,AMBIENT,VACSHELLBOTTOM,INNERSHIELD,VACSHELLBOX,DETECTOR,MOLYLEFT,TMA3BASEPLATE,MIDDLEBASEPLATE,VACSHELLTOP,VACSHELLFEEDLEFT
2025-11-11T00:00:00.00Z,301.000,300.001,76.470,76.535,76.478,69.763,56.306,76.534,72.999,291.493,290.001,76.186,290.003,76.901,77.229,75.562,76.221,289.700,291.060
2025-11-11T00:02:00.00Z,301.000,300.002,76.468,76.530,76.474,69.762,56.302,76.533,73.001,291.475,290.001,76.187,290.003,76.900,77.230,75.562,76.220,289.700,291.050
2025-11-11T00:04:00.00Z,301.000,300.002,76.469,76.536,76.475,69.761,56.303,76.535,73.001,291.501,290.001,76.186,290.004,76.899,77.230,75.562,76.222,289.700,291.060
2025-11-11T00:06:00.00Z,301.000,300.001,76.468,76.534,76.475,69.761,56.302,76.533,73.001,291.490,290.001,76.189,290.004,76.900,77.230,75.561,76.221,289.700,291.060
2025-11-11T00:08:00.00Z,301.000,300.000,76.470,76.535,76.476,69.760,56.300,76.532,73.001,291.504,290.001,76.189,290.003,76.898,77.229,75.561,76.221,289.700,291.060
2025-11-11T00:10:00.00Z,301.000,300.001,76.468,76.535,76.474,69.763,56.306,76.535,73.001,291.456,290.001,76.187,290.004,76.900,77.231,75.563,76.220,289.700,291.060
2025-11-11T00:12:00.00Z,301.000,300.001,76.469,76.536,76.474,69.763,56.301,76.532,73.000,291.427,290.002,76.189,290.003,76.899,77.231,75.561,76.219,289.700,291.060
2025-11-11T00:14:00.00Z,301.000,300.001,76.470,76.534,76.474,69.760,56.300,76.535,73.000,291.409,290.002,76.187,290.004,76.900,77.229,75.563,76.220,289.700,291.060
2025-11-11T00:16:00.00Z,301.000,300.002,76.470,76.534,76.475,69.762,56.308,76.535,73.001,291.472,290.001,76.186,290.002,76.900,77.231,75.561,76.220,289.700,291.060
2025-11-11T00:18:00.00Z,301.000,300.002,76.471,76.533,76.475,69.764,56.304,76.535,73.001,291.498,290.001,76.189,290.004,76.900,77.229,75.560,76.222,289.700,291.060
2025-11-11T00:20:00.00Z,301.000,300.002,76.468,76.536,76.475,69.761,56.301,76.534,72.998,291.472,290.002,76.189,290.003,76.901,77.231,75.562,76.222,289.700,291.060
2025-11-11T00:22:00.00Z,301.000,300.002,76.469,76.535,76.477,69.763,56.305,76.533,73.000,291.465,290.002,76.187,290.003,76.899,77.231,75.564,76.220,289.700,291.060
2025-11-11T00:24:00.00Z,301.000,300.001,76.469,76.534,76.475,69.763,56.303,76.532,73.001,291.480,290.001,76.186,290.003,76.900,77.231,75.561,76.220,289.700,291.060
2025-11-11T00:26:00.00Z,301.000,300.003,76.469,76.533,76.476,69.763,56.306,76.534,73.000,291.460,290.002,76.189,290.002,76.900,77.231,75.562,76.221,289.700,291.060
2025-11-11T00:28:00.00Z,301.000,300.002,76.469,76.535,76.474,69.761,56.299,76.535,72.999,291.475,290.003,76.188,290.002,76.901,77.229,75.561,76.219,289.700,291.060
2025-11-11T00:30:00.00Z,301.000,300.002,76.468,76.537,76.474,69.760,56.300,76.534,72.999,291.422,290.002,76.185,290.001,76.900,77.230,75.562,76.221,289.700,291.060
2025-11-11T00:32:00.00Z,301.000,300.003,76.468,76.534,76.475,69.761,56.300,76.535,72.999,291.421,290.002,76.188,290.003,76.900,77.229,75.564,76.222,289.700,291.060
2025-11-11T00:34:00.00Z,301.000,300.002,76.469,76.536,76.476,69.765,56.308,76.535,73.000,291.402,290.003,76.188,290.002,76.900,77.229,75.564,76.219,289.700,291.060
2025-11-11T00:36:00.00Z,301.000,300.003,76.469,76.536,76.476,69.766,56.312,76.534,73.002,291.418,290.002,76.187,290.002,76.901,77.229,75.562,76.221,289.700,291.060
2025-11-11T00:38:00.00Z,301.000,300.001,76.470,76.534,76.475,69.765,56.307,76.535,73.001,291.431,290.004,76.187,290.001,76.900,77.230,75.562,76.220,289.700,291.060
2025-11-11T00:40:00.00Z,301.000,300.002,76.468,76.536,76.474,69.762,56.308,76.534,73.001,291.457,290.003,76.187,290.001,76.899,77.229,75.562,76.219,289.700,291.060
