filename,mjd,rv_sci_mean_kms,rv_cal_mean_kms
EtalonEtalon_R01_20260422050002_deg0_sp.fits,61152.209541588,0.03993748997242098,0.04809712877695632
EtalonEtalon_R01_20260422080002_deg0_sp.fits,61152.334557567,0.03587397494323283,0.04414726100060068
EtalonEtalon_R01_20260422110001_deg0_sp.fits,61152.459556393,0.030735646780953176,0.04010162953245079
EtalonEtalon_R02_20260422050002_deg0_sp.fits,61152.211762426,0.03923013598698791,0.049500782872966304
EtalonEtalon_R02_20260422080002_deg0_sp.fits,61152.336778406,0.035482316272686894,0.04410971113746998
EtalonEtalon_R02_20260422110001_deg0_sp.fits,61152.461777229,0.030636203101133515,0.03832151440924216
EtalonEtalon_R03_20260422050002_deg0_sp.fits,61152.213983264,0.04091106415016477,0.04881323298566624
EtalonEtalon_R03_20260422080002_deg0_sp.fits,61152.338999245,0.03527681018074978,0.04375027115839147
EtalonEtalon_R03_20260422110001_deg0_sp.fits,61152.463998064,0.030440232213735492,0.037850401053904435
EtalonEtalon_R04_20260422050002_deg0_sp.fits,61152.216204101,0.040626226787872845,0.049316819451964373
EtalonEtalon_R04_20260422080002_deg0_sp.fits,61152.341220084,0.03457419279698326,0.043491428553874105
EtalonEtalon_R04_20260422110001_deg0_sp.fits,61152.466218899,0.031042176768067243,0.03945367135244327
EtalonEtalon_R05_20260422050002_deg0_sp.fits,61152.218424938,0.04163012457415331,0.049275694473948674
EtalonEtalon_R05_20260422080002_deg0_sp.fits,61152.343440923,0.035894203441364424,0.042392026026647066
EtalonEtalon_R05_20260422110001_deg0_sp.fits,61152.468439735,0.03111617226852696,0.03939265823640335
EtalonEtalon_R06_20260422050002_deg0_sp.fits,61152.220645776,0.04102824008154276,0.048604059409501243
EtalonEtalon_R06_20260422080002_deg0_sp.fits,61152.345661763,0.034993745567071716,0.043397382968753
EtalonEtalon_R06_20260422110001_deg0_sp.fits,61152.470660570,0.03222638231195245,0.03940071439444009
EtalonEtalon_R07_20260422050002_deg0_sp.fits,61152.222866614,0.03998983834292293,0.04876812403769287
EtalonEtalon_R07_20260422080002_deg0_sp.fits,61152.347882603,0.03612552011947283,0.04264221582155329
EtalonEtalon_R07_20260422110001_deg0_sp.fits,61152.472881406,0.03224210312648073,0.0408612467369325
EtalonEtalon_R08_20260422050002_deg0_sp.fits,61152.225087451,0.04044065151528248,0.048140496764635554
EtalonEtalon_R08_20260422080002_deg0_sp.fits,61152.350103441,0.03447821540872659,0.04259174386090796
EtalonEtalon_R08_20260422110001_deg0_sp.fits,61152.475102242,0.031967154854733795,0.0400992627292043
EtalonEtalon_R09_20260422050002_deg0_sp.fits,61152.227308289,0.04128404063123988,0.049524507306449986
EtalonEtalon_R09_20260422080002_deg0_sp.fits,61152.352324280,0.0352361685186251,0.04336448694581878
EtalonEtalon_R09_20260422110001_deg0_sp.fits,61152.477323077,0.030575739962155443,0.03868172735121366
EtalonEtalon_R10_20260422050002_deg0_sp.fits,61152.229529128,0.04060700028086751,0.04841901671970941
